,0
2000-01-01,43.73888829021337
2000-02-01,69.89179574260261
2000-03-01,58.66856165933393
2000-04-01,58.19480347927318
2000-05-01,71.18142141502322
2000-06-01,88.43115945709319
2000-07-01,65.99674825247119
2000-08-01,76.39608669107594
2000-09-01,79.39793201392476
2000-10-01,77.1538529872897
2000-11-01,72.59711162430726
2000-12-01,73.98431980416417
2001-01-01,70.37743696925256
2001-02-01,72.19397363902897
2001-03-01,57.01241929583438
2001-04-01,54.328980603239025
2001-05-01,73.94435379164149
2001-06-01,75.34540679227649
2001-07-01,78.83201643303393
2001-08-01,67.3133935252846
2001-09-01,59.143649267147296
2001-10-01,82.72182662222333
2001-11-01,76.98028730575365
2001-12-01,67.15789534552643
2002-01-01,54.66477838469471
2002-02-01,53.057220693988526
2002-03-01,47.10943806753729
2002-04-01,57.92854559600222
2002-05-01,72.8194644923592
2002-06-01,61.95051811284229
2002-07-01,73.91363834859811
2002-08-01,75.55313460227075
2002-09-01,72.18631018218184
2002-10-01,80.85857278257379
2002-11-01,76.96658617589509
2002-12-01,53.611917242546575
2003-01-01,41.38404401529038
2003-02-01,59.47773586564439
2003-03-01,50.15052449322417
2003-04-01,55.11704814081794
2003-05-01,64.9043897790389
2003-06-01,62.73865392002984
2003-07-01,83.75158344917809
2003-08-01,74.6951557153367
2003-09-01,65.37624995782159
2003-10-01,56.37918783239704
2003-11-01,53.90988354661349
2003-12-01,51.326190866295164
2004-01-01,39.91868920024458
2004-02-01,49.048136124525435
2004-03-01,47.07713014671259
2004-04-01,49.861213476002746
2004-05-01,53.975990704788785
2004-06-01,51.532236855673084
2004-07-01,68.37036747588508
2004-08-01,62.4336952979961
2004-09-01,59.50882674686073
2004-10-01,63.534345639942735
2004-11-01,56.271553209057814
2004-12-01,51.03996595930715
2005-01-01,36.46501561060371
2005-02-01,47.00986354040049
2005-03-01,42.723035681467415
2005-04-01,43.38046267168879
2005-05-01,53.759861073638895
2005-06-01,50.67250965039466
2005-07-01,66.94103502997189
2005-08-01,62.662966266503055
2005-09-01,55.82955056449849
2005-10-01,60.05040593125925
2005-11-01,51.92783545753946
2005-12-01,42.56748618359075
2006-01-01,27.77140003646486
2006-02-01,40.05034511594696
2006-03-01,43.76329873703124
2006-04-01,44.92874323766062
2006-05-01,49.022255425607824
2006-06-01,50.08725208506743
2006-07-01,63.47381814896154
2006-08-01,59.339176300727814
2006-09-01,57.86604013324802
2006-10-01,55.833689339392706
2006-11-01,45.41512182905249
2006-12-01,45.26137193728897
2007-01-01,39.12315885682997
2007-02-01,42.19130237496991
2007-03-01,30.71392292959418
2007-04-01,36.63862387316001
2007-05-01,50.79787674605251
2007-06-01,55.54142024753173
2007-07-01,63.255090833970215
2007-08-01,55.2674148447164
2007-09-01,54.05891425184117
2007-10-01,48.20389877354306
2007-11-01,48.16559206171446
2007-12-01,46.48076071535082
2008-01-01,30.531539163524833
2008-02-01,39.57120344737091
2008-03-01,32.54621264827749
2008-04-01,34.46868643258197
2008-05-01,36.92718506120137
2008-06-01,42.45694611077431
2008-07-01,62.17808591636968
2008-08-01,47.05285499747056
2008-09-01,44.20162713934827
2008-10-01,41.95294647050051
2008-11-01,37.347737180915786
2008-12-01,36.67152281070556
2009-01-01,26.477671072528214
2009-02-01,36.11355909565455
2009-03-01,33.296832875729535
2009-04-01,30.258259178352912
2009-05-01,43.70643247320874
2009-06-01,51.506977787297124
2009-07-01,49.22688382297498
2009-08-01,32.23747016490532
2009-09-01,36.86578657624919
2009-10-01,37.26682305192813
2009-11-01,31.3074384031338
2009-12-01,33.36089201226104
2010-01-01,25.456537451815706
2010-02-01,32.649419666171966
2010-03-01,25.339655963756247
2010-04-01,35.558352338021585
2010-05-01,44.11001569105729
2010-06-01,35.811415848951405
2010-07-01,46.73435560660121
2010-08-01,39.74825829580609
2010-09-01,42.202076018852395
2010-10-01,41.30402542597113
2010-11-01,28.332064633118282
2010-12-01,26.948743223911226
2011-01-01,19.455363995555317
2011-02-01,31.784111689813713
2011-03-01,27.99181133760855
2011-04-01,31.67689809190132
2011-05-01,44.97785905766303
2011-06-01,44.93864438366929
2011-07-01,43.54917596014057
2011-08-01,30.95669746793523
2011-09-01,37.68750039344802
2011-10-01,31.684581198746304
2011-11-01,23.899114523456554
2011-12-01,34.129920842187786
2012-01-01,29.60085907638993
2012-02-01,31.495118939271908
2012-03-01,19.40276653609945
2012-04-01,25.995727995944215
2012-05-01,37.88718154298066
2012-06-01,46.36942665700226
2012-07-01,55.51095085347878
2012-08-01,44.971814481523296
2012-09-01,53.650201092849
2012-10-01,44.78178913819035
2012-11-01,30.836633231084424
2012-12-01,31.61776974779414
2013-01-01,23.161671473991866
2013-02-01,30.109447676957494
2013-03-01,21.695256395102863
2013-04-01,29.39292162912504
2013-05-01,38.007428488050124
2013-06-01,34.82465588751898
2013-07-01,44.36099705595705
2013-08-01,34.82017952125558
2013-09-01,37.862627518742684
2013-10-01,35.0175883012729
2013-11-01,26.711203811693892
2013-12-01,29.880523560249788
2014-01-01,24.30785829024739
2014-02-01,30.65764029384043
2014-03-01,22.255962021342928
2014-04-01,37.623208861922755
2014-05-01,47.914798566262895
2014-06-01,36.56203258743429
2014-07-01,41.87205697236192
2014-08-01,33.49965760074624
2014-09-01,36.1188877631449
2014-10-01,34.566571041524696
2014-11-01,30.549445701499558
2014-12-01,35.3038809362398
2015-01-01,21.515727340211743
2015-02-01,24.163009032969555
2015-03-01,21.546641523433735
2015-04-01,28.55735974408725
2015-05-01,36.31615630940052
2015-06-01,44.893660276978885
2015-07-01,53.86145299935157
2015-08-01,43.70917003766304
2015-09-01,50.45016377405831
2015-10-01,42.70632250232064
2015-11-01,27.240866533389774
2015-12-01,27.91945837237744
2016-01-01,22.314638121922066
2016-02-01,28.394947176966983
2016-03-01,17.447722094926203
2016-04-01,23.547490321196282
2016-05-01,34.38062365355741
2016-06-01,30.24334438196031
2016-07-01,37.68338362844339
2016-08-01,31.962172127485935
2016-09-01,35.73654446313278
2016-10-01,27.979636209188737
2016-11-01,23.276994224023085
2016-12-01,24.043868598658147
2017-01-01,14.408280339524012
2017-02-01,23.934728583161824
2017-03-01,22.47450509907044
2017-04-01,34.5651444599232
2017-05-01,37.75849308021722
2017-06-01,29.513477131967285
2017-07-01,43.27936174485973
2017-08-01,44.14647190921579
2017-09-01,39.53538385147747
2017-10-01,36.16378858655087
2017-11-01,32.512944974827235
2017-12-01,32.8000877470546
2018-01-01,32.07305277771004
2018-02-01,34.579300382631445
2018-03-01,24.638192805343426
2018-04-01,34.226374417410995
2018-05-01,36.70100425935665
2018-06-01,33.1605871380323
2018-07-01,45.44351938595099
2018-08-01,43.27318164933411
2018-09-01,44.68930817242217
2018-10-01,33.78941639888312
2018-11-01,32.8835941174811
2018-12-01,35.245891543412505
2019-01-01,19.480918927498138
2019-02-01,26.821925826866966
2019-03-01,27.977969384692535
2019-04-01,37.26428111266207
2019-05-01,43.27310307485693
2019-06-01,39.05005945104621
2019-07-01,46.38886758600089
2019-08-01,40.942071860433764
2019-09-01,38.339449396930576
2019-10-01,36.39403916276854
2019-11-01,38.88606037410074
2019-12-01,35.44435108619689
2020-01-01,26.372234303571535
2020-02-01,35.41792581001296
2020-03-01,35.40668033503189
2020-04-01,37.5229721207711
2020-05-01,34.92632309721691
2020-06-01,36.57320107292194
2020-07-01,52.947085408150855
2020-08-01,50.022149250367754
2020-09-01,49.87402163074871
2020-10-01,40.316013766938234
2020-11-01,31.842683297405426
2020-12-01,28.26490646251891
2021-01-01,14.365867125013377
2021-02-01,23.056461734888643
2021-03-01,25.451664840246778
2021-04-01,33.99722987173966
2021-05-01,40.34057568183027
2021-06-01,39.19085483444576
2021-07-01,44.89199538318773
2021-08-01,35.81608176778271
2021-09-01,36.291984066384515
2021-10-01,29.097998909196736
2021-11-01,24.62575849206211
2021-12-01,27.008141795179395
